,0,1,2,3,4,5,6,7,8,9
0,0.034055324,-0.0037874549,0.26134396,0.250001,-0.5,-0.5,-0.32654493,-0.5,-0.46470183,-0.5
1,0.100096,0.045971282,0.29755148,0.250001,-0.4992,-0.5,-0.34348382,-0.5,-0.47275779,-0.5
2,0.200941,0.065218036,0.32921639,0.250001,-0.4992,-0.5,-0.40599694,-0.5,-0.48251565,-0.5
3,0.39960944,0.26764169,0.25148553,0.250001,-0.4992,-0.5,-0.5,-0.5,-0.5,-0.5
4,0.58103329,0.46487058,0.25660128,0.250001,-0.4992,-0.5,-0.5,-0.5,-0.5,-0.5
5,0.11008441,-0.000732,0.300007,0.28763431,-0.5,-0.5,-0.44381545,-0.5,-0.47373371,-0.5
6,0.10981962,0.047204934,0.300007,0.300007,-0.5,-0.5,-0.40115544,-0.5,-0.47336967,-0.5
7,0.34164674,0.05917347,0.31696323,0.300007,-0.4992,-0.5,-0.37899665,-0.5,-0.48144787,-0.5
8,0.35234425,0.26933462,0.37635769,0.300007,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
9,0.52306709,0.44158653,0.300007,0.300007,-0.4992,-0.5,-0.49142382,-0.5,-0.5,-0.5
10,0.057997712,-0.016923989,0.349998,0.32979225,-0.5,-0.5,-0.32267598,-0.5,-0.4870303,-0.5
11,0.15391101,0.100096,0.349998,0.29219798,-0.4992,-0.5,-0.4024751,-0.5,-0.48805338,-0.5
12,0.200941,0.11058586,0.349998,0.349998,-0.4992,-0.5,-0.38146882,-0.5,-0.48894564,-0.5
13,0.49539407,0.2659194,0.36741497,0.349998,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
14,0.49539407,0.35702808,0.36741497,0.349998,-0.4992,-0.5,-0.5,-0.5,-0.5,-0.5
15,-0.000732,-0.015466501,0.40296908,0.3279027,-0.5,-0.5,-0.32801123,-0.5,-0.49625538,-0.5
16,0.15956852,0.091293892,0.40610432,0.34891564,-0.4992,-0.5,-0.22736919,-0.5,-0.43861582,-0.5
17,0.200941,0.200941,0.400004,0.35615444,-0.4992,-0.5,-0.36011885,-0.5,-0.4304416,-0.5
18,0.61309109,0.27453726,0.400004,0.400004,-0.4992,-0.5,-0.21274,-0.5,-0.42763334,-0.5
19,0.63848681,0.31059182,0.400004,0.400004,-0.4992,-0.5,-0.5,-0.5,-0.5,-0.5
20,0.30096256,-0.0029022918,0.449995,0.43230758,-0.4992,-0.5,-0.47765042,-0.5,-0.5,-0.5
21,0.24067941,0.03338707,0.47468712,0.38966539,-0.4992,-0.5,-0.39552445,-0.5,-0.5,-0.5
22,0.200941,0.14205443,0.449995,0.31581856,-0.4992,-0.5,-0.5,-0.5,-0.44950748,-0.5
23,0.301769,0.24956449,0.449995,0.44915847,-0.4992,-0.5,-0.42228997,-0.5,-0.44552112,-0.5
24,0.679858,0.44867094,0.449995,0.41446181,-0.4992,-0.5,-0.5,-0.5,-0.5,-0.5
25,-0.082819903,-0.10156,0.2560249,0.250001,-0.4992,-0.5,-0.33303994,-0.357145,-0.49407635,-0.5
26,0.086833275,-0.0045396452,0.250001,0.250001,-0.4992,-0.5,-0.29288103,-0.37722417,-0.49821994,-0.5
27,0.100096,-0.029242261,0.25035665,0.250001,-0.4992,-0.5,-0.34348382,-0.37735849,-0.49918078,-0.5
28,0.20353432,-0.028058418,0.25501518,0.250001,-0.4992,-0.5,-0.357145,-0.357145,-0.5,-0.5
29,0.33251766,0.301769,0.250001,0.250001,-0.5,-0.5,-0.16762131,-0.36935214,-0.5,-0.5
30,0.50816592,0.478202,0.250001,0.23557638,-0.5,-0.5,-0.28462648,-0.36246959,-0.5,-0.5
31,0.0079226946,-0.10156,0.39749846,0.26690161,-0.4992,-0.5,-0.2866819,-0.357145,-0.5,-0.5
32,0.089796007,-0.000732,0.40995727,0.2614668,-0.4992,-0.5,-0.26442272,-0.36629204,-0.48095452,-0.5
33,0.100096,0.100096,0.300007,0.2789954,-0.4992,-0.5,-0.24293389,-0.357145,-0.46658545,-0.5
34,0.35082278,0.13419543,0.300007,0.300007,-0.4992,-0.5,-0.1746487,-0.357145,-0.47985179,-0.5
35,0.35082278,0.13419543,0.300007,0.300007,-0.4992,-0.5,-0.1746487,-0.357145,-0.47985179,-0.5
36,0.52659833,0.42129569,0.300007,0.300007,-0.4992,-0.5,-0.34327216,-0.36372,-0.5,-0.5
37,0.16500014,-0.10156,0.39749846,0.33194519,-0.4992,-0.5,-0.357145,-0.357145,-0.5,-0.5
38,0.16577413,-0.0039399353,0.39491312,0.34469945,-0.4992,-0.5,-0.26566752,-0.3631727,-0.4765962,-0.5
